place_id,place_name,category,location,avg_rating,price_level,crowd_level,best_time,family_friendly,tags
1,Panambur Beach,Beach,Mangalore,4.8,Low,High,"Morning,Evening",Yes,"beach, picnic, friends, outing"
2,Tannirbhavi Beach,Beach,Mangalore,4.5,Low,High,"Morning,Evening",Yes,"beach, calm, nature, peaceful"
3,Someshwara Beach,Beach,Mangalore,4.6,Low,Medium,"Morning,Evening",Yes,"beach, evening, sunset, romantic"
4,Ullal Beach,Beach,Mangalore,3.0,Low,Low,"Morning,Evening",No,"beach, lighthouse, scenic, view"
5,Bengre Beach,Beach,Mangalore,3.2,Medium,Medium,"Morning,Evening",Yes,"beach, clean, family, safe"
6,Hosabettu Beach,Beach,Mangalore,3.5,High,Low,"Morning,Evening",No,"beach, water_sports, fun, adventure"
7,Sasihithlu Beach,Beach,Mangalore,4.0,Medium,Medium,"Morning,Evening",Yes,"beach, evening, sunset, romantic"
8,Surathkal Beach ,Beach,Mangalore,5.0,High,High,"Morning,Evening",Yes,"beach, crowded, popular, lively"
9,NITK Beach,Beach,Mangalore,2.9,Medium,Low,"Morning,Evening",Yes,"beach, quiet, less_crowd, relaxing"
10,Hejamadi Beach,Beach,Mangalore,2.5,Low,Low,"Morning,Evening",No,"beach, water_sports, fun, adventure"
11,Padubidri Beach,Beach,Mangalore,2.4,Low,Low,"Morning,Evening",No,"beach, quiet, less_crowd, relaxing"
12,Kaup Beach ,Beach,Mangalore,3.1,Low,High,"Morning,Evening",No,"beach, morning, fresh, calm"
13,Kodi Bengre Beach ,Beach,Mangalore,3.0,Medium,Medium,"Morning,Evening",Yes,"beach, morning, fresh, calm"
14,Mukka Beach ,Beach,Mangalore,3.6,Medium,Medium,"Morning,Evening",Yes,"beach, photography, rocks, view"
15,Baikampady Beach ,Beach,Mangalore,4.0,High,Low,"Morning,Evening",No,"beach, quiet, less_crowd, relaxing"
16,Kulai Beach ,Beach,Mangalore,3.8,Medium,Low,"Morning,Evening",No,"beach, morning, fresh, calm"
17,Mulki Beach ,Beach,Mangalore,4.0,High,Medium,"Morning,Evening",Yes,"beach, water_sports, fun, adventure"
18,Shambhavi Estuary Beach ,Beach,Mangalore,2.0,Low,High,"Morning,Evening",Yes,"beach, water_sports, fun, adventure"
19,Thannirbhavi Tree Park Beach ,Beach,Mangalore,5.0,High,Low,Anytime,Yes,"beach, morning, fresh, calm"
20,New Mangalore Port Beach ,Beach,Mangalore,3.5,Low,Low,"Morning,Evening",No,"beach, sunset, scenic, relaxing"
21,Kadri Manjunatha Temple ,Temple,Mangalore,4.8,Low,High,"Morning,Evening",Yes,"temple, family, prayer, tradition"
22,Mangaladevi Temple ,Temple,Mangalore,4.0,Low,Medium,"Morning,Evening",Yes,"temple, crowded, popular, festive"
23,Kudroli Gokarnanath Temple ,Temple,Mangalore,4.2,Low,High,"Morning,Evening",Yes,"temple, crowded, popular, festive"
24,Sharavu Mahaganapathi Temple ,Temple,Mangalore,4.5,Low,Medium,"Morning,Evening",Yes,"temple, clean, peaceful, silent"
25,Polali Rajarajeshwari Temple,Temple,Mangalore,4.6,Low,Low,"Morning,Evening",Yes,"temple, quiet, devotional, serene"
26,Kateel Durga Parameshwari Temple ,Temple,Mangalore,4.8,Low,High,"Morning,Evening",Yes,"temple, family, prayer, tradition"
27,Sri Venkataramana Temple ,Temple,Mangalore,4.0,Low,Low,"Morning,Evening",Yes,"temple, spiritual, peaceful, calm"
28,Sri Krishna Temple Car Street ,Temple,Mangalore,4.5,Low,Medium,"Morning,Evening",Yes,"temple, crowded, popular, festive"
29,Sri Mahamaya Temple,Temple,Mangalore,4.5,Low,Medium,"Morning,Evening",Yes,"temple, morning, calm, spiritual"
30,Surathkal Sadashiva Temple ,Temple,Mangalore,4.1,Low,High,"Morning,Evening",Yes,"temple, family, prayer, tradition"
31,Ullal Someshwara Temple ,Temple,Mangalore,4.3,Low,Low,"Morning,Evening",Yes,"temple, family, prayer, tradition"
32,Ramakrishna Math Temple ,Temple,Mangalore,4.5,Low,Medium,"Morning,Evening",Yes,"temple, quiet, devotional, serene"
33,Bappanadu Temple ,Temple,Mangalore,4.6,Low,Low,"Morning,Evening",Yes,"temple, morning, calm, spiritual"
34,Adyapadi Temple ,Temple,Mangalore,5.0,Low,Medium,"Morning,Evening",Yes,"temple, historic, famous, heritage"
35,Kotekar Temple ,Temple,Mangalore,4.0,Low,High,"Morning,Evening",Yes,"temple, evening, aarti, divine"
36,Kalladka Temple ,Temple,Mangalore,5.0,Low,Medium,"Morning,Evening",Yes,"temple, pilgrimage, holy, sacred"
37,Valachil Rajarajeshwari Temple ,Temple,Mangalore,4.9,Low,Low,"Morning,Evening",Yes,"temple, historic, famous, heritage"
38,Car Street Ganapathi Temple ,Temple,Mangalore,5.0,Low,Medium,"Morning,Evening",Yes,"temple, crowded, popular, festive"
39,Kadri Hill Temple ,Temple,Mangalore,5.0,Low,High,"Morning,Evening",Yes,"temple, spiritual, peaceful, calm"
40,Kudupu Temple ,Temple,Mangalore,4.8,Low,Low,"Morning,Evening",Yes,"temple, pilgrimage, holy, sacred"
41,Pabbas Ice Cream ,Restaurant,Mangalore,5.0,Low,Medium,Anytime,Yes,"restaurant, modern, stylish, ambience"
42,Ideal Cafe,Restaurant,Mangalore,4.5,Medium,High,Anytime,Yes,"restaurant, luxury, fine_dining, premium"
